"balise","direction","station","track","type","train_direction"
61734,1,Lentoasema,1,DEPARTURE,2
61834,1,Lentoasema,1,DEPARTURE,2
61034,1,Lentoasema,1,DEPARTURE,2
61736,2,Lentoasema,2,ARRIVAL,1
61836,2,Lentoasema,2,ARRIVAL,1
61036,2,Lentoasema,2,ARRIVAL,1
61739,1,Lentoasema,2,DEPARTURE,1
61839,1,Lentoasema,2,DEPARTURE,1
61739,2,Lentoasema,2,ARRIVAL,2
61839,2,Lentoasema,2,ARRIVAL,2
61736,1,Lentoasema,2,DEPARTURE,2
61836,1,Lentoasema,2,DEPARTURE,2
61036,1,Lentoasema,2,DEPARTURE,2
11774,2,Leppävaara,1,ARRIVAL,1
11138,2,Leppävaara,1,ARRIVAL,1
11787,1,Leppävaara,1,DEPARTURE,1
11127,1,Leppävaara,1,DEPARTURE,1
11787,2,Leppävaara,1,ARRIVAL,2
11127,2,Leppävaara,1,ARRIVAL,2
11774,1,Leppävaara,1,DEPARTURE,2
11138,1,Leppävaara,1,DEPARTURE,2
11140,2,Leppävaara,2,ARRIVAL,1
11772,2,Leppävaara,2,ARRIVAL,1
11784,1,Leppävaara,2,DEPARTURE,1
11129,1,Leppävaara,2,DEPARTURE,1
11784,2,Leppävaara,2,ARRIVAL,2
11129,2,Leppävaara,2,ARRIVAL,2
11140,1,Leppävaara,2,DEPARTURE,2
11772,1,Leppävaara,2,DEPARTURE,2
11142,2,Leppävaara,3,ARRIVAL,1
11628,2,Leppävaara,3,ARRIVAL,1
11131,1,Leppävaara,3,DEPARTURE,1
11131,2,Leppävaara,3,ARRIVAL,2
11142,1,Leppävaara,3,DEPARTURE,2
11628,1,Leppävaara,3,DEPARTURE,2
11631,1,Leppävaara,4,ARRIVAL,1
11767,2,Leppävaara,4,ARRIVAL,1
11769,2,Leppävaara,4,ARRIVAL,1
11779,1,Leppävaara,4,DEPARTURE,1
11133,1,Leppävaara,4,DEPARTURE,1
11779,2,Leppävaara,4,ARRIVAL,2
